Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum, Tau_Ener_1, Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,type,type_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2
304.524,144.248,224.386,80.138,6.69851,2.38294,4.54072,2.15778,619.613,282.398,337.214,-1.41146,0.704212,2.11567,1,4,151.782,383.344,276.928,330.136,53.2081,35.8304,19.3465,27.5885,8.24198,2459.43,875.462,1583.97,-5.71657,-1.63025,4.08633
195.575,142.662,169.119,26.4564,4.26522,-4.26522,0,4.26522,199.439,171.185,28.2536,-0.488385,-0.15617,0.332214,1,4,255.403,99.1849,50.3454,74.7652,24.4197,14.7965,3.03834,8.9174,5.87906,293.784,241.248,52.5363,3.23211,1.83898,-1.39313
652.828,119.939,386.384,266.445,9.08889,9.08888,9.08889,3.8147e-06,728.199,387.525,340.675,-0.656979,0.073147,0.730126,1,4,382.122,513.236,135.665,324.45,188.785,111.214,62.8588,87.0366,24.1778,1646.65,772.064,874.589,-3.71967,-1.50563,2.21404
583.136,136.763,359.95,223.186,67.3595,65.0544,66.207,1.15256,1813.79,1005.49,808.294,0.276043,-1.68439,-1.96043,1,4,36.6117,156.638,75.8129,116.226,40.4128,15.5964,2.97881,9.28759,6.30878,2011.81,1969.4,42.4134,3.79642,3.52221,-0.274206
142.686,63.4504,103.068,39.6176,4.88138,1.23395,3.05767,1.82371,425.475,379.033,46.442,-1.39897,-1.97633,-0.577359,1,4,151.327,221.252,18.3466,119.799,101.453,28.5942,8.79155,18.6929,9.9013,1401.06,1076,325.065,-4.71687,-2.88507,1.8318
347.735,191.145,269.44,78.295,7.37653,2.81509,5.09581,2.28072,794.574,701.418,93.1556,1.00454,1.61076,0.606218,1,4,95.354,317.756,18.2908,168.024,149.733,20.9847,11.0759,16.0303,4.95441,954.127,630.205,323.922,3.40286,1.99649,-1.40638
626.557,299.441,462.999,163.558,7.05366,5.14773,6.1007,0.952965,697.977,471.172,226.805,-0.666128,0.187165,0.853293,1,4,59.8075,637.891,213.173,425.532,212.359,101.321,78.3748,89.8479,11.4732,1835.27,1174.09,661.183,-3.47221,-1.67032,1.80189
314.128,18.7806,166.455,147.674,2.04417,0.143988,1.09408,0.950091,357.997,203.65,154.347,0.357177,0.656628,0.299451,1,4,135.378,508.416,289.426,398.921,109.495,64.6391,40.8629,52.751,11.8881,1980.44,785.006,1195.43,-4.37693,-1.29555,3.08138
193.883,134.018,163.95,29.9325,4.57491,3.52221,4.04856,0.526351,234.657,189.922,44.7353,0.402195,-0.555239,-0.957433,1,4,61.6925,253.309,23.2945,138.302,115.007,19.4796,8.51134,13.9954,5.48411,2928.89,946.383,1982.51,6.15029,2.61086,-3.53942
218.859,59.8605,139.36,79.4991,4.73318,0.108141,2.42066,2.31252,351.197,270.898,80.2986,-1.14515,-1.28389,-0.138732,1,4,215.941,319.304,17.0389,168.171,151.132,22.4546,-10.5351,5.95975,16.4949,1028.46,541.229,487.229,-3.67503,-1.83688,1.83815
